S000000001	TFC3	YAL001C|FUN24|TSV115
S000005365	RPB11	YOL005C
S000005366	TOP1	YOL006C|DNA topoisomerase 1|MAK1|MAK17
S000005367	CSI2	YOL007C
S000005368	COQ10	YOL008W
S000005369	MDM12	YOL009C
S000005370	RCL1	YOL010W
S000005371	PLB3	YOL011W
S000005372	HTZ1	YOL012C|HTA3
S000005373	HRD1	YOL013C|DER3|E3 ubiquitin-protein ligase HRD1
S000005374	YOL014W	YOL014W
S000005375	IRC10	YOL015W
S000005376	CMK2	YOL016C
S000005377	ESC8	YOL017W
S000005378	TLG2	YOL018C
S000005379	YOL019W	YOL019W|TOS7
S000005380	TAT2	YOL020W|LTG3|SAB2|SCM2|TAP2
S000005381	DIS3	YOL021C|MTR17|RRP44
S000005382	TSR4	YOL022C
S000005383	IFM1	YOL023W
S000005384	YOL024W	YOL024W
S000005385	LAG2	YOL025W|ECM36
S000005386	MIM1	YOL026C|TOM13
S000005387	MDM38	YOL027C|MKH1
S000005388	YAP7	YOL028C
S000005389	YOL029C	YOL029C
S000005390	GAS5	YOL030W
S000005391	SIL1	YOL031C|SLS1
S000005392	OPI10	YOL032W
S000005393	MSE1	YOL033W|glutamate--tRNA ligase MSE1
S000005394	SMC5	YOL034W|DNA repair ATPase SMC5
S000005396	YOL036W	YOL036W
S000005398	PRE6	YOL038W|proteasome core particle subunit alpha 4
S000005399	RPP2A	YOL039W|RPL44|RPLA2|ribosomal protein P2A
S000005400	RPS15	YOL040C|RPS21|ribosomal 40S subunit protein S15
S000005401	NOP12	YOL041C
S000005402	NGL1	YOL042W
S000005403	NTG2	YOL043C|SCR2|bifunctional N-glycosylase/AP lyase NTG2
S000005404	PEX15	YOL044W|PAS21
S000005405	PSK2	YOL045W
S000005407	YOL047C	YOL047C
S000005408	RRT8	YOL048C
S000005409	GSH2	YOL049W|glutathione synthase
S000005411	GAL11	YOL051W|ABE1|MED15|RAR3|SDS4|SPT13
S000005412	SPE2	YOL052C|adenosylmethionine decarboxylase SPE2
S000005413	DDR2	YOL052C-A|DDRA2|YOL053C-A
S000005414	AIM39	YOL053W
S000005415	PSH1	YOL054W|ubiquitin-protein ligase PSH1
S000005416	THI20	YOL055C|trifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase/thiaminase
S000005417	GPM3	YOL056W|phosphoglycerate mutase family protein GPM3
S000005418	YOL057W	YOL057W|dipeptidyl-peptidase III
S000005419	ARG1	YOL058W|ARG10|argininosuccinate synthase
S000005420	GPD2	YOL059W|GPD3|glycerol-3-phosphate dehydrogenase (NAD(+)) GPD2
S000005421	MAM3	YOL060C
S000005422	PRS5	YOL061W|ribose phosphate diphosphokinase subunit PRS5
S000005423	APM4	YOL062C|AMP1
S000005424	CRT10	YOL063C|HUS1
S000005425	MET22	YOL064C|HAL2
S000005426	INP54	YOL065C|phosphoinositide 5-phosphatase INP54
S000005427	RIB2	YOL066C|PUS8|bifunctional DRAP deaminase/tRNA pseudouridine synthase RIB2
S000005428	RTG1	YOL067C
S000005429	HST1	YOL068C
S000005430	NUF2	YOL069W
S000005431	NBA1	YOL070C
S000005432	EMI5	YOL071W|SDH5|succinate dehydrogenase subunit EMI5
S000005433	THP1	YOL072W|BUD29
S000005434	YOL073C	YOL073C
S000005435	YOL075C	YOL075C
S000005436	MDM20	YOL076W|DEC1|NAA25
S000005437	BRX1	YOL077C
S000005438	AVO1	YOL078W
S000005440	REX4	YOL080C
S000005441	IRA2	YOL081W|CCS1|GLC4
S000005442	ATG19	YOL082W|CVT19
S000005443	ATG34	YOL083W|ATG19-B
S000005444	PHM7	YOL084W
S000005446	ADH1	YOL086C|ADC1|alcohol dehydrogenase ADH1
S000005447	DUF1	YOL087C
S000005448	MPD2	YOL088C|protein disulfide isomerase MPD2
S000005449	HAL9	YOL089C
S000005450	MSH2	YOL090W|PMS5|mismatch repair ATPase MSH2
S000005451	SPO21	YOL091W|MPC70
S000005452	YPQ1	YOL092W
S000005453	TRM10	YOL093W
S000005454	RFC4	YOL094C|replication factor C subunit 4
S000005455	HMI1	YOL095C
S000005456	COQ3	YOL096C|hexaprenyldihydroxybenzoate methyltransferase
S000005457	WRS1	YOL097C|HRE342|tryptophan--tRNA ligase WRS1
S000005458	YOL098C	YOL098C
S000005460	PKH2	YOL100W
S000005461	IZH4	YOL101C
S000005462	TPT1	YOL102C
S000005463	ITR2	YOL103W|HRB612
S000005464	NDJ1	YOL104C|TAM1
S000005465	WSC3	YOL105C
S000005467	YOL107W	YOL107W
S000005468	INO4	YOL108C
S000005469	ZEO1	YOL109W
S000005470	SHR5	YOL110W|ERF4
S000005471	MDY2	YOL111C|GET5|TMA24
S000005472	MSB4	YOL112W
S000005473	SKM1	YOL113W
S000005474	YOL114C	YOL114C
S000005475	PAP2	YOL115W|TRF4|non-canonical poly(A) polymerase PAP2
S000005476	MSN1	YOL116W|FUP1|HRB382|MSS10|PHD2
S000005477	RRI2	YOL117W|CSN10
S000005479	MCH4	YOL119C
S000005480	RPL18A	YOL120C|RP28A|ribosomal 60S subunit protein L18A
S000005481	RPS19A	YOL121C|ribosomal 40S subunit protein S19A
S000005482	SMF1	YOL122C|SBS1
S000005483	HRP1	YOL123W|NAB4|NAB5
S000005484	TRM11	YOL124C
S000005485	TRM13	YOL125W
S000005486	MDH2	YOL126C|malate dehydrogenase MDH2
S000005487	RPL25	YOL127W|ribosomal 60S subunit protein L25
S000005488	YGK3	YOL128C
S000005489	VPS68	YOL129W
S000005490	ALR1	YOL130W|Mg(2+) transporter ALR1|SWC3
S000005491	YOL131W	YOL131W
S000005492	GAS4	YOL132W
S000005493	HRT1	YOL133W|HRT2|RBX1|ROC1|SCF ubiquitin ligase complex subunit HRT1
S000005495	MED7	YOL135C
S000005496	PFK27	YOL136C
S000005497	BSC6	YOL137W
S000005498	RTC1	YOL138C|SEA2
S000005499	CDC33	YOL139C|TIF45
S000005500	ARG8	YOL140W|acetylornithine transaminase
S000005501	PPM2	YOL141W|TYW4
S000005502	RRP40	YOL142W|MTR14
S000005503	RIB4	YOL143C|lumazine synthase RIB4
S000005504	NOP8	YOL144W
S000005505	CTR9	YOL145C|CDP1
S000005506	PSF3	YOL146W
S000005507	PEX11	YOL147C|PMP24|PMP27
S000005508	SPT20	YOL148C|ADA5
S000005509	DCP1	YOL149W
S000005511	GRE2	YOL151W|methylglyoxal reductase (NADPH-dependent) GRE2
S000005512	FRE7	YOL152W
S000005513	YOL153C	YOL153C
S000005514	ZPS1	YOL154W
S000005515	HPF1	YOL155C
S000005516	HXT11	YOL156W|LGT3
S000005517	IMA2	YOL157C
S000005518	ENB1	YOL158C|ARN4
S000005519	YOL159C	YOL159C
S000005521	PAU20	YOL161C
S000005522	YOL162W	YOL162W
S000005523	YOL163W	YOL163W
S000005524	BDS1	YOL164W
S000005525	AAD15	YOL165C
S000005527	RRP6	YOR001W
S000005528	ALG6	YOR002W|dolichyl-P-Glc:Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase
S000005529	YSP3	YOR003W
S000005530	UTP23	YOR004W
S000005531	DNL4	YOR005C|DNA ligase (ATP) DNL4|LIG4
S000005532	TSR3	YOR006C
S000005533	SGT2	YOR007C
S000005534	SLG1	YOR008C|HCS77|WSC1
S000005535	TIR4	YOR009W
S000005536	TIR2	YOR010C|SRP2
S000005537	AUS1	YOR011W|ATP-binding cassette sterol transporter AUS1
S000005538	YOR012W	YOR012W
S000005540	RTS1	YOR014W|SCS1
S000005542	ERP4	YOR016C
S000005543	PET127	YOR017W
S000005544	ROD1	YOR018W|ART4
S000005545	YOR019W	YOR019W
S000005546	HSP10	YOR020C|CPN10
S000005547	SFM1	YOR021C
S000005548	YOR022C	YOR022C|putative carboxylic ester hydrolase
S000005549	AHC1	YOR023C
S000005551	HST3	YOR025W
S000005552	BUB3	YOR026W|PAC9
S000005553	STI1	YOR027W
S000005554	CIN5	YOR028C|HAL6|YAP4
S000005556	DFG16	YOR030W|ECM41|ZRG12
S000005557	CRS5	YOR031W
S000005558	HMS1	YOR032C
S000005559	EXO1	YOR033C|DHS1
S000005560	AKR2	YOR034C
S000005561	SHE4	YOR035C|DIM1
S000005562	PEP12	YOR036W|VPL6|VPS6|VPT13
S000005563	CYC2	YOR037W
S000005564	HIR2	YOR038C|SPT1
S000005565	CKB2	YOR039W
S000005566	GLO4	YOR040W|hydroxyacylglutathione hydrolase GLO4
S000005568	CUE5	YOR042W
S000005569	WHI2	YOR043W
S000005570	IRC23	YOR044W
S000005571	TOM6	YOR045W|ISP6|MOM8B
S000005572	DBP5	YOR046C|ATP-dependent RNA helicase DBP5|RAT8
S000005573	STD1	YOR047C|MSN3|SFS3
S000005574	RAT1	YOR048C|HKE1|TAP1|XRN2
S000005575	RSB1	YOR049C|phospholipid-translocating ATPase RSB1
S000005577	ETT1	YOR051C|NRO1|YOR29-02
S000005578	YOR052C	YOR052C|YOR29-03
S000005580	VHS3	YOR054C|YOR29-05|phosphopantothenoylcysteine decarboxylase complex subunit VHS3
S000005582	NOB1	YOR056C|YOR29-07
S000005583	SGT1	YOR057W|YOR29-08
S000005584	ASE1	YOR058C|YOR29-09
S000005585	YOR059C	YOR059C|YOR29-10|putative hydrolase
S000005586	SLD7	YOR060C|YOR29-11
S000005587	CKA2	YOR061W|YOR29-12
S000005588	YOR062C	YOR062C|YOR29-13
S000005589	RPL3	YOR063W|MAK8|TCM1|YOR29-14|ribosomal 60S subunit protein L3
S000005590	YNG1	YOR064C|YOR29-15
S000005591	CYT1	YOR065W|CTC1|YOR29-16|ubiquinol--cytochrome-c reductase catalytic subunit CYT1
S000005592	MSA1	YOR066W|YOR29-17
S000005593	ALG8	YOR067C|YOR29-18|dolichyl-P-Glc:Glc1Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase
S000005594	VAM10	YOR068C|YOR29-19
S000005595	VPS5	YOR069W|GRD2|PEP10|VPT5|YOR29-20
S000005596	GYP1	YOR070C|YOR29-21
S000005597	NRT1	YOR071C|THI71|YOR29-22
S000005599	SGO1	YOR073W|YOR29-24
S000005600	CDC21	YOR074C|CRT9|TMP1|YOR29-25|thymidylate synthase
S000005601	UFE1	YOR075W|YOR29-26
S000005602	SKI7	YOR076C|YOR29-27
S000005603	RTS2	YOR077W|YOR29-28
S000005604	BUD21	YOR078W|UTP16|YOR29-29
S000005605	ATX2	YOR079C|Mn(2+) transporter ATX2|YOR29-30
S000005606	DIA2	YOR080W|DNA-binding SCF ubiquitin ligase subunit DIA2|YOR29-31
S000005607	TGL5	YOR081C|STC2
S000005609	WHI5	YOR083W
S000005610	LPX1	YOR084W
S000005611	OST3	YOR085W
S000005612	TCB1	YOR086C
S000005613	YVC1	YOR087W|TRPY1|YOR088W
S000005615	VPS21	YOR089C|VPS12|VPT12|YPT21|YPT51
S000005616	PTC5	YOR090C|PPP1
S000005617	TMA46	YOR091W|RBF46
S000005618	ECM3	YOR092W|YOR3165W|putative ATPase ECM3
S000005619	YOR093C	YOR093C
S000005620	ARF3	YOR094W|ARL2
S000005621	RKI1	YOR095C|ribose-5-phosphate isomerase RKI1
S000005622	RPS7A	YOR096W|RPS30|ribosomal 40S subunit protein S7A
S000005623	YOR097C	YOR097C
S000005624	NUP1	YOR098C
S000005625	KTR1	YOR099W
S000005626	CRC1	YOR100C
S000005627	RAS1	YOR101W
S000005629	OST2	YOR103C
S000005630	PIN2	YOR104W
S000005631	YOR105W	YOR105W
S000005632	VAM3	YOR106W|PTH1
S000005633	RGS2	YOR107W
S000005634	LEU9	YOR108W|2-isopropylmalate synthase LEU9
S000005635	INP53	YOR109W|SJL3|SOP2|phosphatidylinositol-3-/phosphoinositide 5-phosphatase INP53
S000005636	TFC7	YOR110W
S000005637	YOR111W	YOR111W
S000005638	CEX1	YOR112W
S000005639	AZF1	YOR113W
S000005640	YOR114W	YOR114W
S000005641	TRS33	YOR115C
S000005642	RPO31	YOR116C|RPC1|RPC160
S000005643	RPT5	YOR117W|YTA1|proteasome regulatory particle base subunit RPT5
S000005644	RTC5	YOR118W
S000005645	RIO1	YOR119C|RRP10
S000005646	GCY1	YOR120W|GCY
S000005648	PFY1	YOR122C|CLS5|PRF1
S000005649	LEO1	YOR123C
S000005650	UBP2	YOR124C
S000005651	CAT5	YOR125C|COQ7|putative monooxygenase CAT5
S000005652	IAH1	YOR126C
S000005653	RGA1	YOR127W|DBM1|THE1
S000005654	ADE2	YOR128C|phosphoribosylaminoimidazole carboxylase ADE2
S000005655	AFI1	YOR129C
S000005656	ORT1	YOR130C|ARG11
S000005657	YOR131C	YOR131C|putative haloacid dehalogenase-like hydrolase
S000005658	VPS17	YOR132W|PEP21|VPT3
S000005659	EFT1	YOR133W
S000005660	BAG7	YOR134W
S000005662	IDH2	YOR136W|isocitrate dehydrogenase (NAD(+)) IDH2
S000005663	SIA1	YOR137C
S000005664	RUP1	YOR138C
S000005666	SFL1	YOR140W
S000005667	ARP8	YOR141C
S000005668	LSC1	YOR142W|succinate--CoA ligase (GDP-forming) subunit alpha
S000005669	THI80	YOR143C|thiamine diphosphokinase
S000005670	ELG1	YOR144C|RTT110
S000005671	PNO1	YOR145C|DIM2|RRP20
S000005673	MDM32	YOR147W
S000005674	SPP2	YOR148C
S000005675	SMP3	YOR149C|LAS2|SAP2
S000005676	MRPL23	YOR150W|mitochondrial 54S ribosomal protein YmL23
S000005677	RPB2	YOR151C|RPB150|RPO22|SIT2|SOH2
S000005678	YOR152C	YOR152C
S000005679	PDR5	YOR153W|ATP-binding cassette multidrug transporter PDR5|LEM1|STS1|YDR1
S000005680	SLP1	YOR154W
S000005681	ISN1	YOR155C|IMP 5'-nucleotidase
S000005682	NFI1	YOR156C|SIZ2|SUMO ligase NFI1
S000005683	PUP1	YOR157C|proteasome core particle subunit beta 2
S000005684	PET123	YOR158W|mitochondrial 37S ribosomal protein PET123
S000005685	SME1	YOR159C
S000005686	MTR10	YOR160W|KAP111
S000005687	PNS1	YOR161C
S000005688	YRR1	YOR162C|PDR2
S000005689	DDP1	YOR163W|polyphosphatase DDP1
S000005690	GET4	YOR164C|ENV8
S000005691	SEY1	YOR165W
S000005692	SWT1	YOR166C
S000005693	RPS28A	YOR167C|RPS33A|ribosomal 40S subunit protein S28A
S000005694	GLN4	YOR168W|glutamine--tRNA ligase
S000005697	LCB4	YOR171C|sphinganine kinase LCB4
S000005698	YRM1	YOR172W
S000005699	DCS2	YOR173W
S000005700	MED4	YOR174W
S000005701	ALE1	YOR175C|LCA1|LPT1|SLC4
S000005702	HEM15	YOR176W|ferrochelatase HEM15
S000005703	MPC54	YOR177C
S000005704	GAC1	YOR178C
S000005705	SYC1	YOR179C
S000005706	DCI1	YOR180C|ECI2|putative dodecenoyl-CoA isomerase DCI1
S000005707	LAS17	YOR181W|BEE1
S000005708	RPS30B	YOR182C|ribosomal 40S subunit protein S30B
S000005709	FYV12	YOR183W
S000005710	SER1	YOR184W|ADE9|O-phospho-L-serine:2-oxoglutarate transaminase
S000005711	GSP2	YOR185C|CNR2
S000005712	YOR186W	YOR186W
S000005713	TUF1	YOR187W|tufM
S000005714	MSB1	YOR188W
S000005715	IES4	YOR189W
S000005716	SPR1	YOR190W|SSG1
S000005717	ULS1	YOR191W|DIS1|RIS1|TID4
S000005718	THI72	YOR192C
S000005719	PEX27	YOR193W
S000005720	TOA1	YOR194C
S000005721	SLK19	YOR195W
S000005722	LIP5	YOR196C|putative lipoate synthase
S000005723	MCA1	YOR197W|YCA1|[MCA]
S000005724	BFR1	YOR198C
S000005727	MRM1	YOR201C|PET56
S000005728	HIS3	YOR202W|HIS10|HIS8|imidazoleglycerol-phosphate dehydratase HIS3
S000005730	DED1	YOR204W|SPP81
S000005731	GEP3	YOR205C|AIM40|FMP38|LRC5|MTG3
S000005732	NOC2	YOR206W
S000005733	RET1	YOR207C|PDS2|RPC128|RPC2
S000005734	PTP2	YOR208W
S000005735	NPT1	YOR209C|nicotinate phosphoribosyltransferase
S000005736	RPB10	YOR210W
S000005737	MGM1	YOR211C|MNA1
S000005738	STE4	YOR212W|HMD2
S000005739	SAS5	YOR213C
S000005740	YOR214C	YOR214C
S000005741	AIM41	YOR215C
S000005742	RUD3	YOR216C|GRP1
S000005743	RFC1	YOR217W|CDC44|replication factor C subunit 1
S000005745	STE13	YOR219C|YCI1
S000005746	RCN2	YOR220W|WSP1
S000005747	MCT1	YOR221C|[acyl-carrier-protein] S-malonyltransferase
S000005748	ODC2	YOR222W
S000005749	YOR223W	YOR223W
S000005750	RPB8	YOR224C
S000005752	ISU2	YOR226C|NUA2
S000005753	HER1	YOR227W
S000005754	YOR228C	YOR228C
S000005755	WTM2	YOR229W
S000005756	WTM1	YOR230W
S000005757	MKK1	YOR231W|SSP32
S000005758	MGE1	YOR232W|GRPE|YGE1
S000005759	KIN4	YOR233W|KIN3|KIN31
S000005760	RPL33B	YOR234C|RPL37B|ribosomal 60S subunit protein L33B
S000005762	DFR1	YOR236W|dihydrofolate reductase
S000005763	HES1	YOR237W|OSH5
S000005764	YOR238W	YOR238W
S000005765	ABP140	YOR239W|TRM140|YOR240W
S000005767	MET7	YOR241W|MET23|tetrahydrofolate synthase
S000005768	SSP2	YOR242C
S000005769	PUS7	YOR243C|pseudouridine synthase PUS7
S000005770	ESA1	YOR244W|TAS1
S000005771	DGA1	YOR245C|diacylglycerol O-acyltransferase
S000005772	ENV9	YOR246C
S000005773	SRL1	YOR247W
S000005775	APC5	YOR249C|RMC1|anaphase promoting complex subunit 5
S000005776	CLP1	YOR250C
S000005777	TUM1	YOR251C
S000005778	TMA16	YOR252W|RBF17
S000005779	NAT5	YOR253W|ARD2|NAA50|ROG2
S000005780	SEC63	YOR254C|PTL1
S000005781	OSW1	YOR255W
S000005782	TRE2	YOR256C
S000005783	CDC31	YOR257W|DSK1
S000005784	HNT3	YOR258W
S000005785	RPT4	YOR259C|CRL13|PCS1|SUG2|proteasome regulatory particle base subunit RPT4
S000005786	GCD1	YOR260W|TRA3
S000005787	RPN8	YOR261C|proteasome regulatory particle lid subunit RPN8
S000005788	GPN2	YOR262W
S000005790	DSE3	YOR264W
S000005791	RBL2	YOR265W
S000005792	PNT1	YOR266W
S000005793	HRK1	YOR267C
S000005794	YOR268C	YOR268C
S000005795	PAC1	YOR269W
S000005796	VPH1	YOR270C
S000005797	FSF1	YOR271C
S000005798	YTM1	YOR272W|CST14
S000005799	TPO4	YOR273C
S000005800	MOD5	YOR274W|[MOD+]
S000005801	RIM20	YOR275C
S000005802	CAF20	YOR276W|CAF2|CAP20
S000005804	HEM4	YOR278W|SLU2|uroporphyrinogen-III synthase HEM4
S000005805	RFM1	YOR279C
S000005806	FSH3	YOR280C
S000005807	PLP2	YOR281C
S000005809	YOR283W	YOR283W|phosphoglycerate mutase
S000005810	HUA2	YOR284W
S000005811	RDL1	YOR285W
S000005812	RDL2	YOR286W|AIM42|FMP31
S000005813	RRP36	YOR287C
S000005814	MPD1	YOR288C|protein disulfide isomerase MPD1
S000005815	YOR289W	YOR289W
S000005816	SNF2	YOR290C|GAM1|HAF1|SWI2|TYE3
S000005817	YPK9	YOR291W
S000005818	YOR292C	YOR292C
S000005819	RPS10A	YOR293W|ribosomal 40S subunit protein S10A
S000005820	RRS1	YOR294W
S000005821	UAF30	YOR295W
S000005822	YOR296W	YOR296W
S000005823	TIM18	YOR297C
S000005824	MUM3	YOR298W
S000005825	BUD7	YOR299W
S000005827	RAX1	YOR301W
S000005828	YOR302W	YOR302W
S000005829	CPA1	YOR303W|carbamoyl-phosphate synthase (glutamine-hydrolyzing) CPA1
S000005830	BIL1	YOR304C-A|EDO1
S000005831	ISW2	YOR304W
S000005832	RRG7	YOR305W
S000005833	MCH5	YOR306C
S000005834	SLY41	YOR307C
S000005835	SNU66	YOR308C
S000005837	NOP58	YOR310C|NOP5
S000005838	DGK1	YOR311C|HSD1
S000005839	RPL20B	YOR312C|RPL18A1|ribosomal 60S subunit protein L20B
S000005840	SPS4	YOR313C
S000005842	SFG1	YOR315W
S000005843	COT1	YOR316C|metal cation transporter COT1
S000005844	FAA1	YOR317W|long-chain fatty acid-CoA ligase FAA1
S000005846	HSH49	YOR319W
S000005847	GNT1	YOR320C
S000005848	PMT3	YOR321W
S000005849	LDB19	YOR322C|ART1
S000005850	PRO2	YOR323C|glutamate-5-semialdehyde dehydrogenase
S000005851	FRT1	YOR324C|HPH1
S000005853	MYO2	YOR326W|CDC66|myosin 2
S000005854	SNC2	YOR327C
S000005855	PDR10	YOR328W|ATP-binding cassette multidrug transporter PDR10
S000005856	SCD5	YOR329C|FTB1
S000005857	MIP1	YOR330C
S000005859	VMA4	YOR332W
S000005861	MRS2	YOR334W
S000005862	ALA1	YOR335C|CDC64|alanine--tRNA ligase
S000005863	KRE5	YOR336W
S000005864	TEA1	YOR337W
S000005865	YOR338W	YOR338W
S000005866	UBC11	YOR339C|putative E2 ubiquitin-protein ligase UBC11
S000005867	RPA43	YOR340C
S000005868	RPA190	YOR341W|RRN1
S000005869	YOR342C	YOR342C
S000005871	TYE7	YOR344C|SGC1
S000005873	REV1	YOR346W
S000005874	PYK2	YOR347C|pyruvate kinase PYK2
S000005875	PUT4	YOR348C
S000005876	CIN1	YOR349W
S000005877	MNE1	YOR350C
S000005878	MEK1	YOR351C|MRE4
S000005879	TFB6	YOR352W
S000005880	SOG2	YOR353C
S000005881	MSC6	YOR354C
S000005882	GDS1	YOR355W
S000005883	CIR2	YOR356W
S000005884	SNX3	YOR357C|GRD19
S000005885	HAP5	YOR358W
S000005886	VTS1	YOR359W
S000005887	PDE2	YOR360C|SRA5
S000005888	PRT1	YOR361C|CDC63|DNA26
S000005889	PRE10	YOR362C|proteasome core particle subunit alpha 7
S000005890	PIP2	YOR363C|OAF2
S000005892	YOR365C	YOR365C
S000005894	SCP1	YOR367W
S000005895	RAD17	YOR368W
S000005896	RPS12	YOR369C|ribosomal 40S subunit protein S12
S000005897	MRS6	YOR370C|MSI4
S000005898	GPB1	YOR371C|KRH2
S000005899	NDD1	YOR372C
S000005900	NUD1	YOR373W
S000005901	ALD4	YOR374W|ALD7|ALDH2|aldehyde dehydrogenase (NADP(+)) ALD4
S000005902	GDH1	YOR375C|DHE4|GDH-A|GDHA|URE1|glutamate dehydrogenase (NADP(+)) GDH1
S000005904	ATF1	YOR377W
S000005905	YOR378W	YOR378W
S000005907	RDR1	YOR380W
S000005908	FRE3	YOR381W
S000005909	FIT2	YOR382W
S000005910	FIT3	YOR383C
S000005911	FRE5	YOR384W
S000005912	YOR385W	YOR385W
S000005913	PHR1	YOR386W|deoxyribodipyrimidine photo-lyase PHR1
S000005914	YOR387C	YOR387C
S000005915	FDH1	YOR388C|formate dehydrogenase (NAD+)
S000005916	YOR389W	YOR389W
S000005917	YOR390W	YOR390W
S000005918	HSP33	YOR391C
S000005920	ERR1	YOR393W|phosphopyruvate hydratase ERR1
S000005921	PAU21	YOR394W
S000005922	HAT1	YPL001W
S000005923	SNF8	YPL002C|VPL14|VPS22
S000005924	ULA1	YPL003W|ENR2
S000005925	LSP1	YPL004C
S000005926	AEP3	YPL005W
S000005927	NCR1	YPL006W
S000005928	TFC8	YPL007C
S000005929	CHL1	YPL008W|CTF1|LPA9|MCM12
S000005930	TAE2	YPL009C
S000005931	RET3	YPL010W
S000005932	TAF3	YPL011C|TAF47
S000005933	RRP12	YPL012W
S000005934	MRPS16	YPL013C|mitochondrial 37S ribosomal protein MRPS16
S000005935	YPL014W	YPL014W
S000005936	HST2	YPL015C
S000005937	SWI1	YPL016W|ADR6|GAM3|LPA1|[SWI(+)]|[SWI+]
S000005938	IRC15	YPL017C
S000005939	CTF19	YPL018W|MCM18
S000005940	VTC3	YPL019C|PHM2
S000005941	ULP1	YPL020C|NIB1
S000005942	ECM23	YPL021W|SRD2
S000005943	RAD1	YPL022W|LPB9
S000005944	MET12	YPL023C|methylenetetrahydrofolate reductase (NAD(P)H) MET12
S000005945	RMI1	YPL024W|NCE4
S000005947	SKS1	YPL026C|SHA3
S000005948	SMA1	YPL027W
S000005949	ERG10	YPL028W|LPB3|TSM0115|acetyl-CoA C-acetyltransferase
S000005950	SUV3	YPL029W|LPB2
S000005951	TRM44	YPL030W
S000005952	PHO85	YPL031C|LDB15|phoU
S000005953	SVL3	YPL032C
S000005954	SRL4	YPL033C
S000005955	YPL034W	YPL034W
S000005957	PMA2	YPL036W|H(+)-exporting P2-type ATPase PMA2
S000005958	EGD1	YPL037C
S000005959	MET31	YPL038W
S000005960	YPL039W	YPL039W
S000005961	ISM1	YPL040C|isoleucine--tRNA ligase ISM1
S000005962	YPL041C	YPL041C
S000005963	SSN3	YPL042C|CDK8|GIG2|NUT7|RYE5|SRB10|UME5
S000005964	NOP4	YPL043W|NOP77
S000005966	VPS16	YPL045W|SVL6|VAM9|VPT16
S000005967	ELC1	YPL046C|elongin C
S000005968	SGF11	YPL047W
S000005969	CAM1	YPL048W|TEF3
S000005970	DIG1	YPL049C|RST1
S000005971	MNN9	YPL050C
S000005972	ARL3	YPL051W
S000005973	OAZ1	YPL052W|YPL052W-A
S000005974	KTR6	YPL053C|MNN6
S000005975	LEE1	YPL054W
S000005976	LGE1	YPL055C
S000005977	LCL1	YPL056C
S000005978	SUR1	YPL057C|BCL21|CSG1|LPE15|mannosylinositol phosphorylceramide synthase catalytic subunit SUR1
S000005979	PDR12	YPL058C|ATP-binding cassette multidrug transporter PDR12
S000005980	GRX5	YPL059W
S000005981	MFM1	YPL060W|LPE10
S000005982	ALD6	YPL061W|ALD1|aldehyde dehydrogenase (NADP(+)) ALD6
S000005984	TIM50	YPL063W
S000005985	CWC27	YPL064C|putative peptidylprolyl isomerase CWC27
S000005986	VPS28	YPL065W|VPL13|VPT28
S000005987	RGL1	YPL066W
S000005988	YPL067C	YPL067C
S000005989	YPL068C	YPL068C
S000005990	BTS1	YPL069C|farnesyltranstransferase
S000005991	MUK1	YPL070W
S000005992	YPL071C	YPL071C
S000005993	UBP16	YPL072W
S000005995	YTA6	YPL074W|putative AAA family ATPase YTA6
S000005996	GCR1	YPL075W|LPF10
S000005997	GPI2	YPL076W|GCR4
S000005998	YPL077C	YPL077C
S000005999	ATP4	YPL078C|F1F0 ATP synthase subunit 4|LPF7
S000006000	RPL21B	YPL079W|ribosomal 60S subunit protein L21B
S000006002	RPS9A	YPL081W|ribosomal 40S subunit protein S9A
S000006003	MOT1	YPL082C|BTAF1|BUR3|LPF4
S000006004	SEN54	YPL083C
S000006005	BRO1	YPL084W|ASI6|LPF2|NPI3|VPS31
S000006006	SEC16	YPL085W|LPF1
S000006007	ELP3	YPL086C|Elongator subunit ELP3|HPA1|KTI8|TOT3
S000006008	YDC1	YPL087W|alkaline dihydroceramidase
S000006009	YPL088W	YPL088W|aldo-keto reductase superfamily protein
S000006010	RLM1	YPL089C
S000006011	RPS6A	YPL090C|ribosomal 40S subunit protein S6A
S000006012	GLR1	YPL091W|LPG17|glutathione-disulfide reductase GLR1
S000006013	SSU1	YPL092W|LPG16
S000006014	NOG1	YPL093W
S000006015	SEC62	YPL094C|LPG14
S000006016	EEB1	YPL095C
S000006017	PNG1	YPL096W
S000006018	MSY1	YPL097W|tyrosine--tRNA ligase MSY1
S000006019	MGR2	YPL098C
S000006020	AIM43	YPL099C|FMP14
S000006021	ATG21	YPL100W|HSV1|MAI1
S000006022	ELP4	YPL101W|Elongator subunit ELP4|HAP1|KTI9|TOT7
S000006024	FMP30	YPL103C
S000006025	MSD1	YPL104W|LPG5|aspartate--tRNA ligase MSD1
S000006026	SYH1	YPL105C|MYR1
S000006027	SSE1	YPL106C|LPG3|MSI3
S000006028	YPL107W	YPL107W
S000006029	YPL108W	YPL108W
S000006030	YPL109C	YPL109C
S000006031	GDE1	YPL110C
